asin,price,imUrl,title
B007CKNX28,25.66,"http://ecx.images-amazon.com/images/I/51ZqPCspJeL._SX300__PJautoripBadge,BottomRight,4,-40_OU11__.jpg",
B0000025BA,5.12,http://ecx.images-amazon.com/images/I/41YKA0Z0QEL._SX300_.jpg,Tapestry
B00GLQQ24A,1.29,http://ecx.images-amazon.com/images/I/61eOihb3t5L._SL500_AA280_.jpg,
B00H4BVPUM,39.97,"http://ecx.images-amazon.com/images/I/51TMgqasfbL._SX300__PJautoripBadge,BottomRight,4,-40_OU11__.jpg",
B00HS7BZIE,41.18,"http://ecx.images-amazon.com/images/I/51gjzk5n%2BUL._SY300__PJautoripBadge,BottomRight,4,-40_OU11__.jpg",
B00HUAP0NK,30.87,"http://ecx.images-amazon.com/images/I/61vHzDEgxgL._SX300__PJautoripBadge,BottomRight,4,-40_OU11__.jpg",
B00IOVH8AW,0.99,http://ecx.images-amazon.com/images/I/512oYPuD-AL._SL500_AA280_.jpg,
B00JJCQRDE,0.99,http://ecx.images-amazon.com/images/I/51RywOC32sL._SL500_AA280_.jpg,
B00JJOG5D4,1.29,http://ecx.images-amazon.com/images/I/51Me2qKCFZL._SL500_AA280_.jpg,
B00JRBLSR2,1.29,http://ecx.images-amazon.com/images/I/51YOLtj9q8L._SL500_AA280_.jpg,
B00JTHVWO8,1.29,http://ecx.images-amazon.com/images/I/71dhloRkLeL._SL500_AA280_.jpg,
B00JYKU6BK,1.29,http://ecx.images-amazon.com/images/I/41yfeQmnysL._SL500_AA280_.jpg,
B008XCJ0KI,0.69,"http://ecx.images-amazon.com/images/I/61R2m4%2B3c%2BL._SL500_AA280_PJStripe-Robin,TopLeft,0,0_.jpg",
B009PHQ9OA,33.45,http://ecx.images-amazon.com/images/I/51IANZeQuXL._SX300_.jpg,
B00B97TNVU,1.29,http://ecx.images-amazon.com/images/I/41sZvqJTYcL._SL500_AA280_.jpg,
B00BTZNEZS,0.69,http://ecx.images-amazon.com/images/I/51HNjpS0S3L._SL500_AA280_.jpg,
B00DRDSL4Y,1.29,"http://ecx.images-amazon.com/images/I/51xF0YmK6UL._SL500_AA280_PJStripe-Robin,TopLeft,0,0_.jpg",
B00EH49FRE,1.29,http://ecx.images-amazon.com/images/I/51ShnNO1bQL._SL500_AA280_.jpg,
B00EPQQ30Q,1.29,http://ecx.images-amazon.com/images/I/51z58-TafeL._SL500_AA280_.jpg,
B00ERMICY8,1.29,http://ecx.images-amazon.com/images/I/511-KKqT-NL._SL500_AA280_.jpg,
B00FAEQ22G,1.29,http://ecx.images-amazon.com/images/I/41XAtgtU1xL._SL500_AA280_.jpg,
B00FP1NNJY,1.29,http://ecx.images-amazon.com/images/I/616XwjG3FkL._SL500_AA280_.jpg,
B00FX8F6VM,1.29,http://ecx.images-amazon.com/images/I/51dnpo6EHAL._SL500_AA280_.jpg,
B00G5WK5YS,44.66,http://ecx.images-amazon.com/images/I/41mRLXmbmyL._SY300_.jpg,
B00GH0QOJ8,42.76,"http://ecx.images-amazon.com/images/I/517gmk4F2FL._SY300__PJautoripBadge,BottomRight,4,-40_OU11__.jpg",
